eid,oid,time,lng,lat
015581f6-5fb4-480b-a1a3-6a7e882d987e,2a606805-f07c-4f43-b03d-afb9dd0c7863,2014-07-23T06:19:54Z,100.8396,2.9879
015581f6-5fb4-480b-a1a3-6a7e882d987e,9b494d9e-dc3e-4aaf-9cab-e250efe6923a,2014-07-23T06:21:14Z,100.8372,2.9907
015581f6-5fb4-480b-a1a3-6a7e882d987e,3200e124-0b34-4edb-be6b-26a8a40bfd15,2014-07-23T06:24:04Z,100.8321,2.9965
015581f6-5fb4-480b-a1a3-6a7e882d987e,64be768d-0085-436d-9f8f-44443b69cefe,2014-07-23T06:27:25Z,100.8264,3.0037
015581f6-5fb4-480b-a1a3-6a7e882d987e,9f18770b-003a-4c77-9cd5-56ae53b20244,2014-07-23T06:27:40Z,100.8258,3.0043
015581f6-5fb4-480b-a1a3-6a7e882d987e,45b5137c-8da2-43f3-9997-f9d28eea337f,2014-07-23T06:38:44Z,100.8058,3.0264
015581f6-5fb4-480b-a1a3-6a7e882d987e,6ee79137-59c3-44fb-80a4-60e211fac4b1,2014-07-23T06:41:34Z,100.8002,3.0321
015581f6-5fb4-480b-a1a3-6a7e882d987e,a2bacf0c-8240-468c-bb0b-b00e2fcb7d06,2014-07-23T06:41:55Z,100.7995,3.0328
015581f6-5fb4-480b-a1a3-6a7e882d987e,800fbc07-f633-46e9-9627-583fa303d2a8,2014-07-23T06:43:55Z,100.7954,3.0369
015581f6-5fb4-480b-a1a3-6a7e882d987e,a8457f94-d1d6-4d6e-9058-aa348f0c9ba1,2014-07-23T06:44:14Z,100.7947,3.0376
015581f6-5fb4-480b-a1a3-6a7e882d987e,755cf662-6db0-439f-a999-22925c62bea1,2014-07-23T06:45:55Z,100.7912,3.041
015581f6-5fb4-480b-a1a3-6a7e882d987e,03e3a039-8528-4b32-bc20-6cd3bb461bd4,2014-07-23T06:46:25Z,100.7901,3.042
015581f6-5fb4-480b-a1a3-6a7e882d987e,8e0ee655-e0cf-426e-8490-cb29f94b4845,2014-07-23T06:47:34Z,100.7876,3.0443
015581f6-5fb4-480b-a1a3-6a7e882d987e,7b400e0a-921b-4ee6-806a-dc8b854af1c4,2014-07-23T06:48:04Z,100.7865,3.0452
015581f6-5fb4-480b-a1a3-6a7e882d987e,4610d86e-8d4c-40ec-a067-09e0be00126e,2014-07-23T06:48:34Z,100.7853,3.0461
015581f6-5fb4-480b-a1a3-6a7e882d987e,d6246f22-2365-4767-9fd0-b77ee1ff364f,2014-07-23T06:50:33Z,100.7807,3.05
015581f6-5fb4-480b-a1a3-6a7e882d987e,0d7ed63c-3f49-4a17-ac85-441b87862adc,2014-07-23T06:52:13Z,100.7769,3.0533
015581f6-5fb4-480b-a1a3-6a7e882d987e,f0c40f7b-dcd6-46c3-b580-23da08055bd6,2014-07-23T06:54:33Z,100.7713,3.0581
015581f6-5fb4-480b-a1a3-6a7e882d987e,31c2b1a3-9c77-4adf-9bc0-28ea36d738c5,2014-07-23T06:56:16Z,100.7669,3.0612
015581f6-5fb4-480b-a1a3-6a7e882d987e,89a2cf1a-0d7b-4f4e-afea-04f92fb5a993,2014-07-23T06:56:23Z,100.7666,3.0615
015581f6-5fb4-480b-a1a3-6a7e882d987e,361a560a-b672-4db8-9001-1bdfcea0706e,2014-07-23T06:57:24Z,100.7639,3.0632
015581f6-5fb4-480b-a1a3-6a7e882d987e,d5c1d4ff-edb4-444a-9e2f-e61fb2e7d6c0,2014-07-23T06:59:03Z,100.7594,3.0662
015581f6-5fb4-480b-a1a3-6a7e882d987e,08607da5-635c-4d1c-9c8e-f738d026d457,2014-07-23T07:00:43Z,100.7549,3.0692
015581f6-5fb4-480b-a1a3-6a7e882d987e,7426360c-c14f-462a-b98a-ae59d9768bca,2014-07-23T07:03:23Z,100.7481,3.0747
015581f6-5fb4-480b-a1a3-6a7e882d987e,29e2f951-1963-4cd1-93a2-eece9a75e14b,2014-07-23T07:04:54Z,100.7444,3.0779
015581f6-5fb4-480b-a1a3-6a7e882d987e,4bc966d6-c790-4e75-bf1a-5f390d5ec2d9,2014-07-23T07:07:33Z,100.7382,3.084
015581f6-5fb4-480b-a1a3-6a7e882d987e,fd906da3-4f16-4503-901e-f2facfdcc29c,2014-07-23T07:07:54Z,100.7374,3.0848
015581f6-5fb4-480b-a1a3-6a7e882d987e,67ebf958-fdde-4b2a-a7c0-aed95a55628f,2014-07-23T07:08:15Z,100.7367,3.0857
015581f6-5fb4-480b-a1a3-6a7e882d987e,5b1c26c8-f7e1-4ce3-86ac-1e13cbaa0463,2014-07-23T07:10:15Z,100.7321,3.0904
015581f6-5fb4-480b-a1a3-6a7e882d987e,1c03a970-a851-4eea-8606-75692e21ab7f,2014-07-23T07:11:15Z,100.7298,3.0928
015581f6-5fb4-480b-a1a3-6a7e882d987e,671d06ba-c1f2-4789-ae48-e582ee870e8c,2014-07-23T07:11:54Z,100.7283,3.0944
015581f6-5fb4-480b-a1a3-6a7e882d987e,7d7b1534-6158-41a2-aef0-4d1630157254,2014-07-23T07:12:54Z,100.726,3.0968
